"Nom","Téléphone","Adresse","Adresse2","CODE POSTAL","VILLE","LATITUDE","LONGITUDE","Burger Original","Burger Sésame","Burger Poulet","Burger Bacon","Végé Creton Traditionnel","Végé Creton Blé","Végé Creton Blé Fines Herbes ","Végé Creton Fines-Herbes","Végé Pâté Traditionnel","Végé Pâté Méditerranéen","Végé Pâté Pesto"
"Pasquier","(450) 349-3585 ","87 Boulevard Saint-Luc, Saint-Jean-sur-Richelieu, J2W 1E2","87 Boulevard Saint-Luc","J2W 1E2","Saint-Jean-sur-Richelieu","45.342549","-73.272408"," "," "," "," ","En magasin"," "," "," ","En magasin"," ","En magasin"
"Centre De Santé La Mie","(450) 371-2828 ","53 Rue du Marché, Salaberry-de-Valleyfield, J6T 1P3","53 Rue du Marché","J6T 1P3","Salaberry-de-Valleyfield","45.254275","-74.133658","En magasin","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"IGA","(450) 373-0251 ","1366 Boulevard Monseigneur-Langlois, Salaberry-de-Valleyfield, J6S 1E3","1366 Boulevard Monseigneur-Langlois","J6S 1E3","Salaberry-de-Valleyfield","45.268997","-74.131154"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Provigo","(450) 455-6161 ","501 Avenue Saint-Charles, Vaudreuil-Dorion, J7V 8V9","501 Avenue Saint-Charles","J7V 8V9","Vaudreuil-Dorion","45.405265","-74.030918"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Rachelle Béry","(450) 455-0612","1-22800 Chemin Dumberry, Vaudreuil-Dorion, J7V 0M8","1-22800 Chemin Dumberry","J7V 0M8","Vaudreuil-Dorion","45.412862","-74.039094"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Biotope Aliments Santé","(450) 218-7878 ","461 Avenue Saint-Charles, Vaudreuil-Dorion, J7V 2N4","461 Avenue Saint-Charles","J7V 2N4","Vaudreuil-Dorion","45.401929","-74.028799","En magasin","En magasin"," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Aliments Naturels Fleur Sauvage","(514) 482-5193 ","5561 Monkland Ave, Montreal, H4A 1E1","5561 Monkland Ave","H4A 1E1","Montreal","45.476153","-73.622429","En magasin"," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Coop La Maison Verte","(514) 489-8000 ","5785 Sherbrooke St, Montreal, H4A 1X2","5785 Sherbrooke St","H4A 1X2","Montreal","45.470173","-73.617221"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin","En magasin","En magasin"
"Épicerie de Grand Pré","(438) 386-4800","4800 rue de Grand Pré, Montreal, H2T 1J6","4800 rue de Grand Pré","H2T 1J6","Montreal","45.524829","-73.586383"," "," "," "," ","En magasin"," "," "," "," "," "," "
"EXo Fruits","(514) 738-1384 ","5192 Côte-des-Neiges, Montreal, H3T 1Y1","5192 Côte-des-Neiges","H3T 1Y1","Montreal","45.495569","-73.620486","En magasin"," "," "," "," "," "," "," "," "," "," "
"Rachelle Béry","(514) 419-6885","7055 boul. St-Laurent, Montreal, H2S 3E3","7055 boul. St-Laurent","H2S 3E3","Montreal","45.533999","-73.616316"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," ","En magasin"
"Marché de la Terre","(514) 374-8234","1951 rue Tillemont, Montreal, H2E 1C9","1951 rue Tillemont","H2E 1C9","Montreal","45.553319","-73.61525","En magasin","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"La Pêche auX Fruits","(514) 903-6641","3273 rue Beaubien est. , Montreal, H1X 1G4","3273 rue Beaubien est. ","H1X 1G4","Montreal","45.555519","-73.586188"," ","En magasin"," ","En magasin","En magasin"," ","En magasin","En magasin","En magasin","En magasin"," "
"Provigo","(514) 481-6959 ","6600, St-Jacques, Montreal, H4B 1V8","6600, St-Jacques","H4B 1V8","Montreal","45.4599","-73.625729"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Fruiterie et Épicerie St-Denis","(514)-276-3111","7682 rue St-Denis, Montreal, H2R 2E6","7682 rue St-Denis","H2R 2E6","Montreal","45.540527","-73.622941","En magasin"," "," ","En magasin","En magasin"," "," "," "," "," "," "
"Marché Adonis","(514) 905-6499","225 rue Peel, Montreal, H3C 2G6","225 rue Peel","H3C 2G6","Montreal","45.494049","-73.558433","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Marché Richelieu - O & R Dunn","(514) 484-8421 ","3824 Decarie Blvd, Montreal, H4A 3J7","3824 Decarie Blvd","H4A 3J7","Montreal","45.476762","-73.614525","En magasin","En magasin","En magasin","En magasin","En magasin"," "," "," ","En magasin"," "," "
"Nature Santé 2000","(514) 738-4638","5006 Queen Mary Rd, Montreal, H3W 1X2","5006 Queen Mary Rd","H3W 1X2","Montreal","45.485394","-73.62736"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Healthtree","(514) 624-2896","3827 St Johns Blvd, Montreal, H9G 1X2","3827 St Johns Blvd","H9G 1X2","Montreal","45.473502","-73.834916"," ","En magasin"," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Provigo","(514) 364-7168","6767 Newman Blvd, Montreal, H8N 3E4","6767 Newman Blvd","H8N 3E4","Montreal","45.451238","-73.607533"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Club Organic","(514) 523-0223","4341 Rue Frontenac, Montreal, H2H 1S4","4341 Rue Frontenac","H2H 1S4","Montreal","45.538407","-73.565122"," ","En magasin"," ","En magasin","En magasin"," "," ","En magasin","En magasin"," "," "
"Couffin Bio","(514) 281-1113","355 Sherbrooke St W, Montreal, H3A 1B5","355 Sherbrooke St W","H3A 1B5","Montreal","45.508301","-73.571578","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Fruiterie Muscat Inc","(514) 284-6377","5000 St Denis St, Montreal, H2J 2L8","5000 St Denis St","H2J 2L8","Montreal","45.526266","-73.588321","En magasin","En magasin"," ","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin"
"Marché Richelieu","(514) 526-6996","3795 rue St-André, Montreal, H2L 3V6","3795 rue St-André","H2L 3V6","Montreal","45.521697","-73.56997"," "," "," "," ","En magasin"," "," "," "," "," "," "
"Fruits du Jour","(514) 522-0555","1655 Mount Royal E, Montreal, H2J 1Z6","1655 Mount Royal E","H2J 1Z6","Montreal","45.532431","-73.575288"," "," "," "," ","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin"
"Jardin Du Plateau","(514) 521-9269","933 Mont-Royal Ave E, Montreal, H2J 1X3","933 Mont-Royal Ave E","H2J 1X3","Montreal","45.526958","-73.580438"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Fruiterie Val-Mont","(514) 523-8212","2147 Mont-Royal Ave E, Montreal, H2H 1J9","2147 Mont-Royal Ave E","H2H 1J9","Montreal","45.535799","-73.572015","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Fruiterie Val-Mont","(514) 523-8060","1495 Mont-Royal Ave E, Montreal, H2J1Z1","1495 Mont-Royal Ave E","H2J1Z1","Montreal","45.531486","-73.576108","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin"," "," "
"Marché Laurier","(514) 279-7979","377 Laurier Ave E, Montreal, H2T 1G7","377 Laurier Ave E","H2T 1G7","Montreal","45.526506","-73.589936","En magasin","En magasin","En magasin","En magasin"," "," "," "," "," "," "," "
"Provigo","(514) 849-8028","50 Mont-Royal Ave W, Montreal, H2T 2S3","50 Mont-Royal Ave W","H2T 2S3","Montreal","45.519528","-73.586909"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Rachelle-Béry","(514) 849-4118","4810 St Laurent Blvd, Montreal, H2T 1R5","4810 St Laurent Blvd","H2T 1R5","Montreal","45.521486","-73.589784"," "," "," "," ","En magasin"," "," "," "," "," "," "
"Rachelle-Bery","(514) 524-0725","505 Rue Rachel E, Montreal, H2J 2H3","505 Rue Rachel E","H2J 2H3","Montreal","45.52296","-73.577314"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Provigo","(514) 257-4511","7600 Sherbrooke St E, Montreal, H1N 3W1","7600 Sherbrooke St E","H1N 3W1","Montreal","45.591615","-73.535657"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Marché 4751","(514) 903-6775","4751 Rue Sainte-Catherine Est, Montreal, H1V 1Z2","4751 Rue Sainte-Catherine Est","H1V 1Z2","Montreal","45.555133","-73.531348","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"," ","En magasin"," "
"Les Aliments Merci","(514) 899-1066","4445 Ontario St E, Montreal, H1V 3V3","4445 Ontario St E","H1V 3V3","Montreal","45.55406","-73.539306","En magasin","En magasin","En magasin","En magasin","En magasin"," "," "," ","En magasin"," "," "
"Aliments Merci","(514) 528-7295","3623 Ontario St E, Montreal, H1W 1R8","3623 Ontario St E","H1W 1R8","Montreal","45.545501","-73.544769","En magasin","En magasin","En magasin","En magasin","En magasin"," "," "," ","En magasin"," "," "
"Retour AuX Sources","(514) 351-4150","8833 Rue Hochelaga, Montreal, H1L 2N3","8833 Rue Hochelaga","H1L 2N3","Montreal","45.603119","-73.518991"," "," ","En magasin","En magasin","En magasin"," "," "," ","En magasin"," "," "
"MaXi & Cie","(514) 321-3111","10200 Pie-IX Blvd, Montreal, H1H 3Z1","10200 Pie-IX Blvd","H1H 3Z1","Montreal","45.585458","-73.631744"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Mission Santé","(514) 272-9386","1138 Avenue Bernard, Montreal, H2V 1V3","1138 Avenue Bernard","H2V 1V3","Montreal","45.521171","-73.607241"," "," "," "," ","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin"
"Provigo Le Marché","(514) 624-6369","4849 St Johns Blvd, Montreal, H9H 2A9","4849 St Johns Blvd","H9H 2A9","Montreal","45.490909","-73.849469"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Les Marchés Tau","(514) 695-0828","2335 Trans-Canada Hwy, Montreal, H9R 4W3","2335 Trans-Canada Hwy","H9R 4W3","Montreal","45.480155","-73.795443","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasinEn magasin","En magasin","En magasin"
"Tournesol Aliments Naturels","(514) 274-3629","1251 Rue Beaubien, Montreal, H2S 1V1","1251 Rue Beaubien","H2S 1V1","Montreal","45.539463","-73.600248","En magasin","En magasin","En magasin","En magasin","En magasin"," "," "," ","En magasin"," "," "
"Adonis","(514) 933-4747","2173 St-Catherine, Montreal, H3H 1M9","2173 St-Catherine","H3H 1M9","Montreal","45.490571","-73.583322"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Provigo Le Marché","(514) 522-4442","2925 Rue Rachel , Montreal, H1W 3Z8","2925 Rue Rachel ","H1W 3Z8","Montreal","45.544398","-73.562118"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Les Aliments Merci","(438) 380-2424","2815 Rue Masson, Montreal, H1Y 1W8","2815 Rue Masson","H1Y 1W8","Montreal","45.547283","-73.575632","En magasin","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Au Melon Miel","(514) 521-2458","2818 rue Masson, Montreal, H1Y 1W7","2818 rue Masson","H1Y 1W7","Montreal","45.547342","-73.575268"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Aliments Merci","(514) 274-3962","282 Place du marché du nord, Montreal, H2S 1A1","282 Place du marché du nord","H2S 1A1","Montreal","45.536191","-73.613753"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Alimentation Poivre & Sel","(514) 722-8600","3245 Rue Masson, Montreal, H1Y 1Y4","3245 Rue Masson","H1Y 1Y4","Montreal","45.550628","-73.573422"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," ","En magasin"
"Fuiterie Roger","(514)522-2384","1832 Rue Laurier Est, Montreal, H2H 1B2","1832 Rue Laurier Est","H2H 1B2","Montreal","45.536412","-73.579832"," ","En magasin"," "," "," "," "," "," "," "," "," "
"Segal's Market","(514)845-4716","4001 boul. St-Laurent, Montreal, H2W 1Y4","4001 boul. St-Laurent","H2W 1Y4","Montreal","45.516922","-73.578922","En magasin","En magasin","En magasin","En magasin","En magasin"," "," "," ","En magasin"," "," "
"Fruiterie Mile-End","(514)278-5576","5686 Av. Du Parc, Montreal, H2V 4H1","5686 Av. Du Parc","H2V 4H1","Montreal","45.523036","-73.604157"," "," "," "," ","En magasin"," "," "," "," "," "," "
"Fruiterie du Plateau","(514) 842-1729","515 rue Roy , Montreal, H2L 1C9","515 rue Roy ","H2L 1C9","Montreal","45.520691","-73.571465"," "," "," "," "," ","En magasin","En magasin"," "," "," "," "
"La Pomme d'Api Épicerie Santé","(514) 727-1437","2599 Rosemont Blvd, Montreal, H1Y 1K6","2599 Rosemont Blvd","H1Y 1K6","Montreal","45.547898","-73.58541"," "," "," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"Marché 3 Piliers","(514) 563-1204","750 rue Gilford, Montreal, H2J 1N7","750 rue Gilford","H2J 1N7","Montreal","45.527415","-73.585455"," "," ","En magasin","En magasin"," "," "," "," "," "," "," "
"Fruiterie Valmont","(514) 523-8218","2147 avenu du Mont-Royal, Montreal, H2H 1J9","2147 avenu du Mont-Royal","H2H 1J9","Montreal","45.535822","-73.572193","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Pousse L'ananas","(514) 270-6873","6346 St Hubert St, Montreal, H2S 2M2","6346 St Hubert St","H2S 2M2","Montreal","45.535506","-73.601928","En magasin"," ","En magasin"," ","En magasin"," "," "," ","En magasin"," "," "
"Folie en vrac","(514) 526-3689","1254 St-Catherine Est, Montreal, H2L 2H2","1254 St-Catherine Est","H2L 2H2","Montreal","45.519468","-73.55552"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Johanne Verdon","(514) 279-3709","1278 rue Jean-Talon, Montreal, H2R 1W3","1278 rue Jean-Talon","H2R 1W3","Montreal","45.544241","-73.610136","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin"
"Fruiterie Lina","(514) 388-0884","8300 rue Julien, Montreal, H2P 2J3","8300 rue Julien","H2P 2J3","Montreal","45.542143","-73.633383"," ","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin"," "," "
"Bio Source","(514) 989-2200","1 Westmount, Montreal, H3Z 2P9","1 Westmount","H3Z 2P9","Montreal","45.487184","-73.588701","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Mouton Vert","(514) 369-3456","6000 Sherbrooke, Montreal, H4A 1X9","6000 Sherbrooke","H4A 1X9","Montreal","45.468434","-73.619622"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Alfalfa","(514) 372-3689","7070 Rue Henri Julien Local C-1, Montreal, H2S 3S3","7070 Rue Henri Julien Local C-1","H2S 3S3","Montreal","45.536668","-73.614639","En magasin","En magasin","En magasin"," ","En magasin"," "," "," ","En magasin"," "," "
"PA Nature","(514) 271-8788","5029 av. Du Parc, Montreal, H2V 4E9","5029 av. Du Parc","H2V 4E9","Montreal","45.519406","-73.594931"," "," "," "," ","En magasin"," "," "," ","En magasin","En magasin","En magasin"
"Les Marchés Tau","(514) 843-4420","4238 St Denis St, Montreal, H2J 2K8","4238 St Denis St","H2J 2K8","Montreal","45.521852","-73.578858","En magasin","En magasin"," ","En magasin","En magasin"," "," "," ","En magasin"," "," "
"Branche D'Olivier","(514) 938-1818","3439 Notre Dame, Montreal, H4C 1P4","3439 Notre Dame","H4C 1P4","Montreal","45.480448","-73.579553","En magasin"," "," "," "," "," "," ","En magasin","En magasin","En magasin"," "
"Couffin Bio","(438) 380-5184","5184 Côte-des-Neiges, Montreal, H3T 1Y2","5184 Côte-des-Neiges","H3T 1Y2","Montreal","45.495461","-73.320583"," ","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Branche D'Olivier","(514) 768-5930","4342 Wellington St, Montreal, H4G 1W4","4342 Wellington St","H4G 1W4","Montreal","45.460511","-73.566959","En magasin","En magasin","En magasin","En magasin","En magasin"," "," "," ","En magasin"," "," "
"IGA","(514) 932-8155","2600 Mullins Street, Montreal, H3K 3G8","2600 Mullins Street","H3K 3G8","Montreal","45.476924","-73.567346","En magasin","En magasin"," "," "," "," "," ","En magasin"," ","En magasin","En magasin"
"Rachelle Béry","(438) 382-9333","905 rue Fleury, Montreal, H2C 2J8","905 rue Fleury","H2C 2J8","Montreal","45.557368","-73.660025"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Marché Station 54","(514) 508-8830","760 boul. Rosemont, Montreal, H2S 0A7","760 boul. Rosemont","H2S 0A7","Montreal","45.532536","-73.596522","En magasin","En magasin","En magasin","En magasin","En magasin"," ","En magasin"," ","En magasin"," ","En magasin"
"Gourmet Frutti","(514) 525-3036","1251 Boul de Maisonneuve, Montreal, H2L 2A2","1251 Boul de Maisonneuve","H2L 2A2","Montreal","45.519643","-73.55738"," "," "," "," ","En magasin"," "," "," "," "," ","En magasin"
"Fruiterie Du Petit St-Jacques","(514) 598-9449","1907 Amherst St, Montreal, H2L 3L8","1907 Amherst St","H2L 3L8","Montreal","45.520112","-73.562574"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Fruiterie Tsikinis","(514) 277-8629","661 Rue Jarry E,, Montreal, H2P 1W1","661 Rue Jarry E,","H2P 1W1","Montreal","45.545118","-73.627594","En magasin","En magasin","En magasin","En magasin","En magasin"," ","En magasin","En magasin","En magasin"," "," "
"Provigo Le Marché","(514) 948-2600","375 Rue Jean-Talon Ouest, Montreal, H3N 2Y8","375 Rue Jean-Talon Ouest","H3N 2Y8","Montreal","45.530833","-73.622704"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Provigo Le Marché","(819) 682-4433","375 Chemin d'Aylmer, Gatineau, J9H 1A5","375 Chemin d'Aylmer","J9H 1A5","Gatineau","45.397666","-75.822826"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"La Boîte à grains","(819) 243-3002","325 Boulevard Gréber, Gatineau, J8T 8J3","325 Boulevard Gréber","J8T 8J3","Gatineau","45.478514","-75.698369","En magasin","En magasin"," "," ","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Sol Natural Foods","(819) 684-0512","186 Avenue de la Colline, Gatineau, J9J 1S6","186 Avenue de la Colline","J9J 1S6","Gatineau","45.396401","-75.832317"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"La Boîte à grains","(819) 777-3001","25 boul. Du Plateau, Gatineau, J9A 3G1","25 boul. Du Plateau","J9A 3G1","Gatineau","45.43572","-75.768842"," ","En magasin"," ","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"La Brulerie","(819) 778-0109","69 boul. St-Joseph, Gatineau, J8Y 3W2","69 boul. St-Joseph","J8Y 3W2","Gatineau","45.427837","-75.733565"," "," "," "," "," "," "," ","En magasin"," ","En magasin"," "
"Café Mulligan","(819) 557-9777","1491 Principale, Gatineau, J9H 3M7","1491 Principale","J9H 3M7","Gatineau","45.395442","-75.841238"," "," "," "," ","En magasin"," "," "," "," "," "," "
"La Boîte à grains","(819) 771-3000","581 Boulevard Saint-Joseph, Gatineau, J8Y 4A6","581 Boulevard Saint-Joseph","J8Y 4A6","Gatineau","45.449994","-75.736598","En magasin","En magasin"," ","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Provigo","(819) 777-2747","1 Boulevard du Plateau, Gatineau, J9A 3G1","1 Boulevard du Plateau","J9A 3G1","Gatineau","45.435171","-75.766103"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Metro","(418) 662-3611","370 avenue Begin Sud, Alma, G8B 2W8","370 avenue Begin Sud","G8B 2W8","Alma","48.544183","-71.650205"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Bizz Magazine D'Alimentation","(418) 549-1112","271 Rue Ste Famille, Chicoutimi, G7H 4J5","271 Rue Ste Famille","G7H 4J5","Chicoutimi","48.427303","-71.052739"," "," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Le Garde Manger","(418)696-1597","1415 Rue Des Champs-Élysées, Chicoutimi, G7H 6J2","1415 Rue Des Champs-Élysées","G7H 6J2","Chicoutimi","48.403167","-71.051213","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Provigo","(418) 690-0063","1155 Boulevard Talbot, Chicoutimi, G7H 4B5","1155 Boulevard Talbot","G7H 4B5","Chicoutimi","48.408773","-71.053343"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Soleil Le Vent","(418) 547-6227","2425 Rue Saint Dominique, Jonquière, G7X 6L1","2425 Rue Saint Dominique","G7X 6L1","Jonquière","48.412704","-71.254347"," "," ","En magasin"," ","En magasin","En magasin"," "," ","En magasin"," "," "
"Tau","(514) 787-0077","7373 Boul. Sanglier, St-Léonard , H1S 1V1","7373 Boul. Sanglier","H1S 1V1","St-Léonard ","45.591758","-73.570053","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Chelsea Freshsmart","(819)-827-8001","528 route 105, Chelsea, J9B 1K5","528 route 105","J9B 1K5","Chelsea","45.508398","-75.785436"," "," "," "," ","En magasin"," "," ","En magasin"," "," "," "
"Wakefield General store","(819)459-2808","804 chemin Riverside, Wakefield, J0X 3G0","804 chemin Riverside","J0X 3G0","Wakefield","45.640347","-75.928263"," "," "," "," "," ","En magasin"," "," "," "," "," "
"Métro","(418)856-3827","615 1ère rue, La Pocatière, G0R 1Z0","615 1ère rue","G0R 1Z0","La Pocatière","47.364593","-70.037467","En magasin","En magasin","En magasin","En magasin","En magasin"," "," "," "," "," "," "
"Métro","(418) 547-6611","2350 rue St-Hubert, Saguenay, G7X 5N4","2350 rue St-Hubert","G7X 5N4","Saguenay","48.412935","-71.248454","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin","En magasin"
"Épicerie Santé Tout Vert Tout Pur","(819) 623-3533","608 boul. Albiny-Paquette, Mont Laurier, J9L 1L4","608 boul. Albiny-Paquette","J9L 1L4","Mont Laurier","46.550934","-75.493444"," "," "," "," ","En magasin"," "," ","En magasin"," "," "," "
"L'Essentielle","(819)623-5873","532 Rue de la Madone, Mont Laurier, J9L 1S5","532 Rue de la Madone","J9L 1S5","Mont Laurier","46.552331","-75.497551"," ","En magasin"," "," ","En magasin"," "," ","En magasin","En magasin"," "," "
"La Belle Verte","(819) 293-5056","130 boul. Louis Fréchette, Nicolet, J3I 1C3","130 boul. Louis Fréchette","J3I 1C3","Nicolet","46.227512","-72.618574"," "," "," "," ","En magasin"," "," ","En magasin"," "," "," "
"IGA","(418) 862-7861","254 boul. De l'hotel de ville, Rivière du Loup, G5R 1M4","254 boul. De l'hotel de ville","G5R 1M4","Rivière du Loup","47.825339","-69.553982"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Jardins des Druidesses","(819) 874-0002","1122 8e rue, Val d'Or, J9P 1S8","1122 8e rue","J9P 1S8","Val d'Or","48.101085","-77.785478"," "," "," "," "," "," "," ","En magasin","En magasin","En magasin"," "
"Bio Sattvia","(819) 320-0668","1340 Rte 117, Val David, J0T 2N0","1340 Rte 117","J0T 2N0","Val David","46.024986","-74.21498"," ","En magasin"," "," ","En magasin"," "," ","En magasin"," "," "," "
"Bourassa Alimentation","(450) 434-1707","17605 rue Charles, Mirabel, J7J 0L6","17605 rue Charles","J7J 0L6","Mirabel","45.695434","-73.934521","En magasin","En magasin","En magasin","En magasin","En magasin"," "," "," ","En magasin"," "," "
"Sensée épicerie spécialisée","(849) 731-3337","2108 105e Avenu, Shawinigan, G9P 1N8","2108 105e Avenu","G9P 1N8","Shawinigan","46.520358","-72.745742"," ","En magasin","En magasin","En magasin","En magasin"," "," "," ","En magasin"," "," "
"Panier Santé Dame Nature","(450) 773-5225","1480 Rue des Cascades, St-Hyacinthe, J2S 3H5","1480 Rue des Cascades","J2S 3H5","St-Hyacinthe","45.624898","-72.945333","En magasin"," "," "," ","En magasin"," "," ","En magasin","En magasin","En magasin"," "
"Papillon Aliments en Vrac","(514) 697-5157","313 boul. St-Jean, Pointe-Claire, H9R 3J1","313 boul. St-Jean","H9R 3J1","Pointe-Claire","45.446169","-73.814695","En magasin","En magasin","En magasin"," ","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Douce Nature","(450) 836-7601","553 rue Montcalm, Berthierville, J0K 1A0","553 rue Montcalm","J0K 1A0","Berthierville","46.084383","-73.174608"," "," "," "," ","En magasin"," "," ","En magasin"," "," "," "
"IGA","(450) 621-2266","50 Montée Gagnon, Bois-des-Filion, J6Z 2L1","50 Montée Gagnon","J6Z 2L1","Bois-des-Filion","45.665301","-73.762091"," "," "," "," ","En magasin"," "," "," ","En magasin","En magasin"," "
"Les Arpents Vert","(450) 467-2140","245 rue Duvernay, Beloeil, J3G 2M3","245 rue Duvernay","J3G 2M3","Beloeil","45.564155","-73.206867"," ","En magasin","En magasin"," ","En magasin"," "," "," ","En magasin"," "," "
"Boucherie JB Allard","(418) 836-9696","221 Rte Marie-Victorin, St-Nicolas, G7A 2W9","221 Rte Marie-Victorin","G7A 2W9","St-Nicolas","46.735727","-71.295036"," "," "," "," ","En magasin"," "," "," "," "," "," "
"Santé en Vrac","(819) 523-7333","332 rue St-Joseph, Latuque, G9X 1L2","332 rue St-Joseph","G9X 1L2","Latuque","47.441168","-72.783341"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Adonis","(514) 493-6667","7250 boul. Des Roseraies, Anjou, H1M 2T5","7250 boul. Des Roseraies","H1M 2T5","Anjou","45.599382","-73.559492","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Go Organique!","(514) 697-9900","3260 rue Jean-Yves, Kirkland, H9J 2R6","3260 rue Jean-Yves","H9J 2R6","Kirkland","45.442461","-73.889628","En magasin","En magasin","En magasin","En magasin","En magasin"," "," ","En magasin","En magasin","En magasin","En magasin"
"Provigo","(514) 426-3005","16900 Aut. Transcanadienne, Kirkland, H9H 4M7","16900 Aut. Transcanadienne","H9H 4M7","Kirkland","45.453582","-73.851021"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Métro","(418) 665-4473","375 boul. Decomporté, La Malbaie, G5A 1H9","375 boul. Decomporté","G5A 1H9","La Malbaie","47.643498","-70.150565"," "," "," "," ","En magasin"," "," "," "," "," "," "
"Provigo","(450) 653-0433","1402 rue Roberval, St-Bruno-de-Montarville, J3V 5J2","1402 rue Roberval","J3V 5J2","St-Bruno-de-Montarville","45.527827","-73.3444"," ","En magasin"," "," ","En magasin"," "," "," ","En magasin"," "," "
"Métro","(418) 364-7380","686 boul. Perron, Carleton, G0C 1J0","686 boul. Perron","G0C 1J0","Carleton","48.10203","-66.116354"," "," "," "," ","En magasin"," "," "," ","En magasin"," "," "
"Dans mon Bocal","(450) 745-0201","42 rue Morin, St-Adèle, J8B 2M4","42 rue Morin","J8B 2M4","St-Adèle","45.951544","-74.136232","En magasin"," "," "," "," "," "," "," ","En magasin","En magasin","En magasin"
